ht 1 time	ht1 temp	ht2 time	ht2 temp	ht3 time	ht3 temp	ht4 time	ht4 temp	ht1 Arr	ht2 Arr	ht3 Arr	ht4 Arr	Ni at. %	Cr at. %	Co at. %	Al at. %	Ta at. %	W at. %	Ti at. %	Mo at. %	γ’ frac at. %	K_Ni	K_Cr	K_Co 	K_Al	K_Ta	K_W	K_Ti	K_Mo
12	1232	1000	760	0	20	0	20	78.4672037101	0	0	4.1049360314	78.74	15.14	0	2	0	0	4.12	0	12	0.9635036496	0.1301425114		6.4511278195			4.9285714286	
12	1232	1000	760	0	20	0	20	77.5302641128	0	0	4.0651469093	77.8	14.93	0	2	0	0	4.08	1.19	13	0.9721779375	0.118609407		6.0428163654			5.6739130435	0.2978144475
12	1232	1000	760	0	20	0	20	75.8956384345	0	0	4.0752058326	76.16	14.59	0	2.2	0	0	4.09	2.96	15	1.0311944688	0.0767627648		5.9302325581			4.7264573991	0.1868783807
12	1232	1000	760	0	20	0	20	74.4105041713	0	0	4.1251261208	74.67	14.25	0	2.1	0	0	4.14	4.84	16	1.045123745	0.0717029449		7.221719457			5.1395793499	0.1646778043
12	1232	100	927	0	20	0	20	75.7964155678	0	0	0	76.06	15.06	0	8.88	0	0	0	0	5	0.9467218772	0.5517594807		2.3164876816				
12	1232	100	927	0	20	0	20	74.8993086451	0	0	0	75.16	14.81	0	8.85	0	0	0	1.18	8	0.9846891611	0.458643449		2.2052248855				0.8363636364
12	1232	100	927	0	20	0	20	73.38424365	0	0	0	73.64	14.43	0	8.96	0	0	0	2.97	13	1.0417444798	0.3355650972		2.0563174788				0.7131147541
12	1232	100	927	0	20	0	20	71.8293308043	0	0	0	72.08	14.05	0	9.07	0	0	0	4.8	17	1.0731063427	0.2613977205		2.1478012383				0.6021530541
12	1232	100	927	0	20	0	20	74.0814713095	0	0	0	74.34	14.05	0	11.61	0	0	0	0	20	1.0195813639	0.4924060751		1.6290909091				
12	1232	100	927	0	20	0	20	72.895512364	0	0	0	73.15	13.94	0	11.76	0	0	0	1.15	29	1.0517901814	0.3625432383		1.7317073171				1.0623441397
12	1232	100	927	0	20	0	20	71.2011235932	0	0	0	71.45	13.59	0	12.12	0	0	0	2.84	33	1.1070548034	0.2615665753		1.6380441264				0.8312655087
12	1232	100	927	0	20	0	20	69.785925244	0	0	0	70.03	13.42	0	12.09	0	0	0	4.46	32	1.1124744376	0.2490842491		1.7570262919				0.6592244418
12	1232	100	927	0	20	0	20	78.4672037101	0	0	4.1049360314	78.74	15.14	0	2	0	0	4.12	0	3	0.9811570118	0.1351064535		4.0985915493			3.4094445935	
12	1232	100	927	0	20	0	20	77.5302641128	0	0	4.0651469093	77.8	14.93	0	2	0	0	4.08	1.19	4	0.9828737798	0.1422988816		4.3687943262			3.5986471251	0.2280285036
12	1232	100	927	0	20	0	20	75.8956384345	0	0	4.0752058326	76.16	14.59	0	2.2	0	0	4.09	2.96	5	0.9774966003	0.1047553411		4.4831460674			4.2316890882	0.1847177213
12	1232	100	927	0	20	0	20	74.4105041713	0	0	4.1251261208	74.67	14.25	0	2.1	0	0	4.14	4.84	7	1.0193224733	0.0721794962		5.3391188251			3.9295774648	0.1535519468
30	1100	1500	900	0	20	0	20	62.6365135276	8.5415756978	0.2846937962	1.5118809345	62.846	26.5	8.57232	5.326	0.2857232	4.061524	1.5174291152	0	66	1.3555992141	0.1320754717	0.4117647059	3.7096774194	6	0.380952381	5.0666666667	
1	1200	0	20	0	20	0	20	52.4182448253	15.9432624709	0	3.9855334697	52.6	15.9	16	8.5	0	0	4	3	42	1.4113785558	0.0972762646	0.404040404	3.7692307692			12.2857142857	0.358974359
