,x1,T,G
137,0.0625,888.9,-0.10409866637289264
138,0.0,908.6,-0.366729142911547
139,0.03125,908.6,-0.2750310525303537
140,0.0625,908.6,-0.11739049907976395
141,0.0,928.4,-0.37590707589421013
142,0.03125,928.4,-0.2860561856706243
143,0.0625,928.4,-0.13093105723407336
144,0.0,948.1,-0.38529090999104787
145,0.03125,948.1,-0.29731587070724735
146,0.0625,948.1,-0.14469656075839502
147,0.0,967.9,-0.394864621978109
148,0.03125,967.9,-0.30880911026915797
149,0.0625,967.9,-0.15870942026759988
150,0.0,987.7,-0.4046423607526497
151,0.03125,987.7,-0.3205377661723118
152,0.0625,987.7,-0.17295668973224199
153,0.0,1007.4,-0.4146371843215706
154,0.03125,1007.4,-0.33250077238778114
155,0.0625,1007.4,-0.1874226040668271
