,x1,T,G
62,0.28125,395.1,-0.022908469300828977
63,0.25,414.8,-0.09352239092273984
64,0.21875,414.8,-0.1024892895391625
65,0.28125,414.8,-0.031832369877618616
66,0.25,434.6,-0.10523961331848283
67,0.21875,434.6,-0.11382965724186354
68,0.28125,434.6,-0.04104747364564396
69,0.25,454.3,-0.11716922290131493
70,0.21875,454.3,-0.12540999822032667
71,0.28125,454.3,-0.0505217730396893
72,0.25,474.1,-0.12934329582600898
73,0.21875,474.1,-0.1372567621131628
74,0.28125,474.1,-0.06026594865507752
75,0.25,493.8,-0.1417022561799793
76,0.21875,493.8,-0.1493141245961213
77,0.28125,493.8,-0.07024841531705364
78,0.25,513.6,-0.1542809990107614
79,0.21875,513.6,-0.16161110875239332
80,0.28125,513.6,-0.08048197305600056
81,0.25,533.3,-0.1670222031283141
82,0.21875,533.3,-0.1740934088104288
83,0.28125,533.3,-0.09093533978118673
84,0.25,553.1,-0.17996286446414061
85,0.21875,553.1,-0.1867922989081095
86,0.28125,553.1,-0.10162318071309726
87,0.25,572.8,-0.19304780201974694
88,0.21875,572.8,-0.19965496927396173
89,0.28125,572.8,-0.11251450359362658
90,0.25,592.6,-0.20631551137522727
91,0.21875,592.6,-0.21271459436958112
92,0.28125,592.6,-0.12362570855756
93,0.25,612.3,-0.2197128513729603
94,0.21875,612.3,-0.22591976836920108
95,0.28125,612.3,-0.13492705006634761
96,0.25,632.1,-0.2332788000200141
97,0.21875,632.1,-0.23930533669743123
98,0.28125,632.1,-0.14645316152815124
99,0.25,651.9,-0.24698524968486152
100,0.21875,651.9,-0.2528426961413563
101,0.28125,651.9,-0.15820804527844878
102,0.25,671.6,-0.26080369284131716
103,0.21875,671.6,-0.26650361103510134
104,0.28125,671.6,-0.17056888391368974
105,0.25,691.4,-0.27477496617780767
106,0.21875,691.4,-0.2803322496738078
107,0.28125,691.4,-0.18321284094738205
108,0.25,711.1,-0.28884962080820287
109,0.21875,711.1,-0.2942784791887501
110,0.28125,711.1,-0.19681901314568095
111,0.25,730.9,-0.3030685577218332
112,0.21875,730.9,-0.308413243580784
113,0.28125,730.9,-0.209893055452554
114,0.25,750.6,-0.3173832961856641
115,0.21875,750.6,-0.3230893514767367
116,0.28125,750.6,-0.2232505336328002
117,0.25,770.4,-0.33183545437259204
118,0.21875,770.4,-0.3379068546163004
119,0.28125,770.4,-0.2363910348403311
120,0.25,790.1,-0.3463776819029506
121,0.21875,790.1,-0.3547588054697716
122,0.28125,790.1,-0.24949235380871976
123,0.25,809.9,-0.3610514954072427
124,0.21875,809.9,-0.3710543642483332
125,0.28125,809.9,-0.2627690307358908
126,0.25,829.6,-0.3758103397069763
127,0.21875,829.6,-0.3878768145395307
128,0.28125,829.6,-0.2761563889867183
129,0.25,849.4,-0.3906958340686695
130,0.21875,849.4,-0.40315547030561744
131,0.28125,849.4,-0.2897074673902898
132,0.25,869.1,-0.4056626368488474
133,0.21875,869.1,-0.41857157528613753
134,0.28125,869.1,-0.303375139748367
135,0.25,888.9,-0.42075194257653314
136,0.21875,888.9,-0.4339616804505081
137,0.28125,888.9,-0.3171969487570675
138,0.25,908.6,-0.435919295703169
139,0.21875,908.6,-0.44945265277171775
140,0.28125,908.6,-0.33113617567417936
141,0.25,928.4,-0.4512057033990483
142,0.21875,928.4,-0.4650333106123248
143,0.28125,928.4,-0.345223376403475
144,0.25,948.1,-0.4665672735586005
145,0.21875,948.1,-0.4806623651937401
146,0.28125,948.1,-0.35942329295144
147,0.25,967.9,-0.48204532501822056
148,0.21875,967.9,-0.4964133406659719
149,0.28125,967.9,-0.37376469380986616
150,0.25,987.7,-0.4976172969053919
151,0.21875,987.7,-0.5122513526335916
152,0.28125,987.7,-0.3882296863260482
153,0.25,1007.4,-0.5132608218977759
